"Provincia";"Comune Nome";"Stazione Nome";"Data";"Parametro Nome";"Valore Alfanum";"Sta Gb E";"Sta Gb N"
"GR";"GAVORRANO";"BRUNA - SP. 31 COLLACCHIA LOC. LA BARTOLINA";"12-MAR-24";"TEMPERATURA";"14";"1665337";"4756991"
"GR";"GAVORRANO";"BRUNA - MONTE TORRENTE CARSIA LOC. CASTEANI";"12-MAR-24";"TEMPERATURA";"14";"1661177";"4759728"
"FI";"BARBERINO TAVARNELLE";"PESA - PRESA SAMBUCA";"11-MAR-24";"TEMPERATURA";"11,8";"1679719";"4825925"
"FI";"BARBERINO TAVARNELLE";"PESA - PRESA SAMBUCA";"11-MAR-24";"TEMPERATURA";"11,8";"1679719";"4825925"
"PT";"SAN MARCELLO PITEGLIO";"TORRENTE LIMESTRE - A MONTE IMMISSIONE - LIMA";"11-MAR-24";"TEMPERATURA";"8,4";"1642078";"4879092"
"PT";"PISTOIA";"TORRENTE VINCIO DI BRANDEGLIO";"11-MAR-24";"TEMPERATURA";"11,7";"1650377";"4870490"
"FI";"VICCHIO";"TORRENTE MUCCIONE";"05-MAR-24";"TEMPERATURA";"10";"1698948";"4874460"
"FI";"VICCHIO";"TORRENTE BOTENA";"05-MAR-24";"TEMPERATURA";"10,1";"1700498";"4868730"
"PT";"PISTOIA";"LIMENTRA DI SAMBUCA - PRESA ACQUEDOTTO OSPEDALETTO";"05-MAR-24";"TEMPERATURA";"7,9";"1655550";"4877375"
"PT";"PISTOIA";"OMBRONE PISTOIESE - PROMBIALLA PRESA ACQUEDOTTO";"05-MAR-24";"TEMPERATURA";"10,5";"1652687";"4875630"
"FI";"EMPOLI";"TORRENTE ORME";"05-MAR-24";"TEMPERATURA";"12";"1657836";"4840372"
"FI";"SESTO FIORENTINO";"LAGO ISOLA";"04-MAR-24";"TEMPERATURA";"11,3";"1678317";"4858122"
"FI";"CAMPI BISENZIO";"FOSSO REALE (2)-TORRENTE RIMAGGIO";"04-MAR-24";"TEMPERATURA";"11,8";"1672086";"4851918"
"FI";"CAPRAIA E LIMITE";"ARNO  - CAMAIONI - CAPRAIA";"04-MAR-24";"TEMPERATURA";"12,6";"1663650";"4845728"
"FI";"MONTELUPO FIORENTINO";"FIUME PESA A VALLE";"04-MAR-24";"TEMPERATURA";"13,1";"1664032";"4842647"
"LU";"BORGO A MOZZANO";"TORRENTE PEDOGNA";"04-MAR-24";"TEMPERATURA";"11,9";"1620146";"4869308"
"LU";"COREGLIA ANTELMINELLI";"SERCHIO - GHIVIZZANO";"04-MAR-24";"TEMPERATURA";"10,5";"1621314";"4875203"
"LU";"COREGLIA ANTELMINELLI";"SERCHIO - GHIVIZZANO";"04-MAR-24";"TEMPERATURA";"10,5";"1621314";"4875203"
"LU";"BARGA";"TORRENTE CORSONNA";"04-MAR-24";"TEMPERATURA";"10,4";"1619561";"4882439"
"LU";"BORGO A MOZZANO";"LIMA - PONTE CATENE";"04-MAR-24";"TEMPERATURA";"9,4";"1625288";"4873730"
"LU";"BORGO A MOZZANO";"LIMA - PONTE CATENE";"04-MAR-24";"TEMPERATURA";"9,4";"1625288";"4873730"
"AR";"ANGHIARI";"INVASO DI MONTEDOGLIO";"26-FEB-24";"TEMPERATURA";"7,6";"1746257";"4830571"
"AR";"CASTELFRANCO PIANDISCO'";"FINESTRELLE";"21-FEB-24";"TEMPERATURA";"7,6";"1707714";"4833950"
"FI";"CASTELFIORENTINO";"TORRENTE PESCIOLA";"20-FEB-24";"TEMPERATURA";"12,5";"1660243";"4828203"
"GR";"SCARLINO";"CANALE ALLACCIANTE";"19-FEB-24";"TEMPERATURA";"18";"1650000,75";"4755673,58"
"FI";"REGGELLO";"TORRENTE  CHIESIMONE";"15-FEB-24";"TEMPERATURA";"9,6";"1698852";"4835734"
"FI";"REGGELLO";"TORRENTE  CHIESIMONE";"15-FEB-24";"TEMPERATURA";"9,6";"1698852";"4835734"
"FI";"FIGLINE E INCISA VALDARNO";"ARNO PRESA FIGLINE MATASSINO";"15-FEB-24";"TEMPERATURA";"12,6";"1700105";"4832998"
"AR";"BADIA TEDALDA";"TORRENTE PRESALE";"14-FEB-24";"TEMPERATURA";"4,9";"1757473";"4845111"
"MS";"PONTREMOLI";"FIUME MAGRA MONTE";"13-FEB-24";"TEMPERATURA";"9,5";"1570832";"4912602"
"MS";"PONTREMOLI";"GORDANA - PONTE A MONTE CONFLUENZA MAGRA";"13-FEB-24";"TEMPERATURA";"10";"1570420";"4912795"
"FI";"REGGELLO";"TORRENTE MARNIA";"12-FEB-24";"TEMPERATURA";"11";"1703215";"4843521"
"FI";"GAMBASSI TERME";"RIOPETROSO_BORGOFORTE";"12-FEB-24";"TEMPERATURA";"11,1";"1657290";"4824947"
"FI";"EMPOLI";"TORRENTE ORME";"12-FEB-24";"TEMPERATURA";"10,5";"1657836";"4840372"
"SI";"SIENA";"FIUME ELSA";"09-FEB-24";"TEMPERATURA";"12,2";"1671715";"4803259"
"GR";"MANCIANO";"ALBEGNA - PONTE SS 322 PER MONTEMERANO";"08-FEB-24";"TEMPERATURA";"19,5";"1701446";"4723561"
"PI";"PISA";"FOSSA CHIARA PONTE DI BISCOTTINO";"08-FEB-24";"TEMPERATURA";"12,7";"1613450";"4830540"
"PI";"SANTA LUCE";"LAGO S. LUCE - INTERNO INVASO";"08-FEB-24";"TEMPERATURA";"12,1";"1622586";"4811251"
"PI";"CALCINAIA";"ARNO - PONTE DI CALCINAIA";"08-FEB-24";"TEMPERATURA";"10,6";"1627644";"4837776"
"LI";"ROSIGNANO MARITTIMO";"TORRENTE SAVALANO";"08-FEB-24";"TEMPERATURA";"11,8";"1620054";"4810240"
"AR";"PIEVE SANTO STEFANO";"TEVERE - MOLIN DEL BECCO";"07-FEB-24";"TEMPERATURA";"9,5";"1744014";"4848298"
"SI";"RADICOFANI";"TORRENTE SUCENNA";"07-FEB-24";"TEMPERATURA";"8";"1727880";"4753960"
"SI";"SAN CASCIANO DEI BAGNI";"BACINO ELVELLA";"07-FEB-24";"TEMPERATURA";"8,4";"1732966";"4746969"
"SI";"SAN CASCIANO DEI BAGNI";"BACINO ELVELLA";"07-FEB-24";"TEMPERATURA";"8,4";"1732966";"4746969"
"SI";"PIANCASTAGNAIO";"FIUME PAGLIA VALLE CONFLUENZA RIGO";"07-FEB-24";"TEMPERATURA";"11,3";"1729751";"4741715"
"LI";"CASTAGNETO CARDUCCI";"FOSSO BOLGHERI";"07-FEB-24";"TEMPERATURA";"13,2";"1625211";"4783505"
"LI";"CECINA";"CECINA - PONTE SS1 AURELIA";"07-FEB-24";"TEMPERATURA";"11,4";"1622837";"4796939"
"LI";"ROSIGNANO MARITTIMO";"FINE - GUADO POLVERONI";"07-FEB-24";"TEMPERATURA";"11,8";"1618689";"4803396"
"AR";"PRATOVECCHIO STIA";"TORRENTE STAGGIA";"06-FEB-24";"TEMPERATURA";"7";"1718724";"4854730"
"AR";"BIBBIENA";"TORRENTE ARCHIANO";"06-FEB-24";"TEMPERATURA";"8,7";"1727753";"4848534"
"AR";"CASTEL FOCOGNANO";"TORRENTE  SALUTIO";"06-FEB-24";"TEMPERATURA";"7,4";"1728322";"4834230"
"PT";"QUARRATA";"STELLA PONTE CATENA";"06-FEB-24";"TEMPERATURA";"13,7";"1662143";"4856367"
"SI";"POGGIBONSI";"CENTRALE CEPPARELLO";"06-FEB-24";"TEMPERATURA";"9,6";"1677443";"4817400"
"SI";"POGGIBONSI";"TORRENTE STAGGIA";"06-FEB-24";"TEMPERATURA";"10,7";"1674671";"4813912"
"FI";"FIRENZE";"FIUME ARNO - ANCONELLA";"05-FEB-24";"TEMPERATURA";"10,8";"1685474";"4848206"
"FI";"FIRENZE";"FIUME ARNO - ANCONELLA";"05-FEB-24";"TEMPERATURA";"10,8";"1685474";"4848206"
