PROVINCIA;COMUNE;STAZIONE;DATACAMPIONAMENTO;PARAMETRO;VALORE_NUMERICO;GEO_Y;GEO_X
LO;Castelnuovo Bocca d'Adda;Castelnuovo Bocca dAdda;30.11.2016;Escherichia coli;1986.3;45.11559165;9.868930411
MN;Roncoferraro;Roncoferraro;07.06.2016;Conducibilità elettrica a 20°C;335.5;45.08465138;10.95326725
SO;Teglio;Teglio;08.02.2016;pH;8.3;46.14179786;10.0934673
SO;Sondrio;Sondrio;18.05.2016;Ossigeno disciolto;10.1;46.16269333;9.853352103
SO;Ardenno;Ardenno;31.08.2016;Ossigeno disciolto;9.6;46.15878336;9.640114431
SO;Bormio;Bormio;01.03.2016;pH;8.6;46.45874895;10.35920475
BG;San Giovanni Bianco;S. Giovanni Bianco;30.03.2016;Ossigeno disciolto;11.24;45.87442684;9.653147796
CR;Vescovato;Vescovato;10.08.2016;Ossigeno disciolto;7.29;45.13596208;10.16578019
PV;Voghera;Voghera;12.04.2016;Conducibilità elettrica a 20°C;457.7;44.95976439;9.016392961
VA;SESTO CALENDE;Sesto Calende;13.01.2016;Temperatura acqua;5;45.73729814;8.647854905
BG;Palosco;Palosco;14.07.2016;Ossigeno disciolto;8.79;45.58684179;9.845169363
BG;Canonica d'Adda;Canonica dAdda;21.04.2016;Temperatura acqua;11;45.58969655;9.552325217
BG;Sarnico;Sarnico;31.03.2016;Ossigeno disciolto;12.26;45.66554627;9.941657317
PV;Vigevano;Vigevano;11.10.2016;Temperatura acqua;13.53;45.2923226;8.81754532
BS;Pozzolengo;Pozzolengo;10.10.2016;Escherichia coli;172.2;45.39232276;10.61251688
SO;Montagna in Valtellina;Montagna Valt.;05.12.2016;pH;7.9;46.16757952;9.90381766
SO;Mese;Mese;16.02.2016;Temperatura acqua;7.1;46.31499122;9.387627003
SO;Tirano;Tirano;10.11.2016;pH;8.3;46.20990771;10.15036701
SO;Bormio;Bormio;14.11.2016;Temperatura acqua;4.3;46.45874895;10.35920475
MN;Marcaria;Marcaria;05.10.2016;Temperatura acqua;18.3;45.04117454;10.65100133
CO;COMO;Como;11.05.2016;Escherichia coli;45000;45.80282546;9.107056137
SO;Mese;Mese;07.11.2016;Ossigeno disciolto;12.6;46.31499122;9.387627003
MN;Viadana;Viadana;23.08.2016;Ossigeno disciolto;7;45.02236158;10.63218297
CO;Carimate;Carimate;23.05.2016;Escherichia coli;62000;45.70065752;9.117784205
LC;Dervio;Dervio;04.10.2016;Ossigeno disciolto;10.9;46.07275515;9.298443762
LO;Castelnuovo Bocca d'Adda;Castelnuovo Bocca dAdda;30.11.2016;Ossigeno disciolto;10.49;45.11559165;9.868930411
CR;Piadena;Piadena;14.03.2016;Escherichia coli;1500;45.13274124;10.39428604
BS;Gianico;Gianico;20.06.2016;Conducibilità elettrica a 20°C;59.2;45.86600076;10.18318716
BG;Bergamo;Bergamo;28.09.2016;Temperatura acqua;13.6;45.6798208;9.680719424
