Monitoraggio Qualitativo dei Corpi Idrici Superficiali della Regione Puglia;;;;Temperatura;Conducibilità;Acidità (concentrazione ioni idrogeno);Ossigeno;Ossigeno;Durezza;Alcalinità;Domanda biochimica di ossigeno (BOD5 ) a 20°  senza nitrificazione;Domanda chimica ossigeno (COD);Nutrienti;;;;;Particellato sospeso;Cloruri;Solfati;Batteriologia;Indice;Latitudine;Longitudine
Dati medi Annui 2016 - 2021;;;;Temperatura;Conducibilità;pH;% saturazione O2 ;O2 ;CaCO3 ;Ca(HCO3)2 ;BOD5;COD;N-tot;N-NH4 ;N-NO3 ;P-tot;P-PO4 ;TSS;Cl;SO4;Escherichia coli;LIMeco;;
Descrizione;Corpo Idrico Superficiale;Codice Stazione;Annualità;°C;µsiemens/cm 20°C;Unità;%;mg/l;mg/l;mg/l(meq/l);mg/l;mg/l;µg/l;µg/l;µg/l;µg/l;µg/l;µg/l;mg/l;mg/l;UFC/100 ml;;;
Fiume Ofanto;confl. Locone - confl. Foce ofanto;CA_FO02;2017;11.7;974;8.2;95.3;10.5;323.6;470.5;3.4;16.9;6720;416;5797;497;358;55013;79;103;1995;0.30;"41°17' 9,541"" N";"16°6' 1,444"" E"
Fiume Ofanto;Foce Ofanto;CA_FO03;2017;11.5;1508;8.2;94.4;10.4;363.3;467.3;3;14.8;6201;131;5543;407;316;35428;252;123;1850;0.33;" 41° 20' 26,790""N";" 16° 12' 20,740""E"
Fiume Bradano;Bradano_reg;CA_BR01;2017;13.9;909;7.7;120.3;11.8;297.1;490.9;2.1;12.6;6429;67;6358;135;103;10997;69;86;169;0.47;"40°47' 27,839"" N";"16°25' 7,080"" E"
Torrente Asso;Torrente Asso;CA_AS01;2017;17.8;1097;7.2;89.5;8.8;496.7;387.5;13.2;33.9;10061;1631;6702;2415;2016;30967;211;60;2671;0.22;40°11'20,35'' N;18°1'38,58'' E
Fiume Grande;F. Grande;CA_GR01;2017;15.2;5466;8;107.4;10.1;1128.9;460.4;7.4;48.3;6684;47;5807;65;56;37667;1498;731;1198;0.50;"40°37' 29,151"" N";"17°58' 59,854"" E"
Canale Reale;C. Reale;CA_RE01;2017;18.6;898;7.6;40.9;3.8;363.5;301.9;5.6;25.2;12891;1552;9181;1680;1210;17000;139;56;673;0.07;"40°42' 10,318"" N";"17°48' 26,422"" E"
Fiume Tara;Tara;CA_TA01;2017;18.5;3295;7.5;61.6;6.1;794.5;499.2;3.3;39.9;4912;70;4691;5;mlq;2808;874;215;119;0.46;"40°30' 59,555"" N";"17°8' 44,032"" E"
Fiume Lenne;Lenne;CA_LN01;2017;15.9;5956;7.8;94.4;9.2;1137.8;495.1;3.1;61.5;8711;123;7507;85;27;5000;1981;402;181;0.38;"40°30' 18,4"" N";"17°00' 52,1"" E"
Fiume Lato;Lato;CA_FL01;2017;16.4;4181;7.7;82.8;8.3;868.6;463.9;3.4;51.2;6890;116;6580;72;48;12025;1239;341;231;0.40;"40°30' 9,366"" N";"16°57' 52,323"" E"
Fiume Galaso;Galaso;CA_GA01;2017;16.7;13475;7.7;67.1;6.6;1886.1;468;2;89.9;4326;577;3645;1209;811;7826;5313;796;380;0.25;"40°24' 54,056"" N";"16°52' 20,289"" E"
Fiume Saccione;Saccione_12;CA_TS01;2018;15.9;1232;8.3;110;10.8;316.3;367.4;4.9;17;7645;mlq;3964;336;147;30364;180;115;14411;0.46;"41°51' 36,2"" N";"15°07'24"" E"
Fiume Saccione;Foce Saccione;CA_TS02;2018;17.6;25325;8.1;111.3;10.9;4034.2;303.1;2.6;108;9909;mlq;9015;255;142;58667;10021;1401;1392;0.53;"41°55' 29,337"" N";"15°8' 12,055"" E"
Fiume Fortore;Fortore_12_1;CA_FF01;2018;14.2;937;8.3;115.1;11.7;249.7;337;4.4;15;4642;mlq;2637;118;30;31833;69;129;561;0.56;"41°38' 50,057"" N";"15°2' 40,647"" E"
Fiume Fortore;Fortore_12_2;CA_FF02;2018;16.7;1158;8.3;112.9;10.7;315.5;373.8;3;13.1;5992;mlq;2603;183;mlq;40500;171;157;669;0.55;"41°53' 46,823"" N";"15°15' 50,170"" E"
Torrente Candelaro;Candelaro_12;CA_TC01;2018;16.9;1150;8.3;111.8;10.8;318.8;410.7;4.9;14.6;7233;mlq;3789;253;59;22833;185;122;2528;0.52;"41°46' 35,017"" N";"15°19' 9,391"" E"
Torrente Candelaro;Candelaro_16;CA_TC02;2018;17;1261;8;100.5;9.8;326.2;438.8;6.8;28.8;11617;1485;4662;609;236;70250;170;92;22135;0.34;"41°43' 26,872"" N";"15°27' 53,908"" E"
Torrente Candelaro;Candelaro sorg-confl. Triolo_17;CA_TC03;2018;17;1382;8;98.4;9.7;356.8;444.9;5.9;20.6;11008;632;5394;662;227;43000;196;103;11781;0.39;"41°42' 50,777"" N";"15°30' 10,572"" E"
Torrente Candelaro;Candelaro confl. Triolo confl. Salsola_17;CA_TC04;2018;16.4;1771;8.1;106.9;10.3;387.4;415;5.4;20.5;11683;202;6969;804;421;49333;300;173;5047;0.41;"41°37' 34,269"" N";"15°38' 7,124"" E"
Torrente Candelaro;Candelaro confl. Salsola confl. Celone_17;CA_TC05;2018;16.7;1651;8.1;103.1;9.9;391.4;407;6.6;28;15192;69;7565;743;320;185500;240;165;4829;0.45;"41°36' 36,051"" N";"15°40' 4,030"" E"
Torrente Candelaro;Candelaro confl. Celone - foce;CA_TC06;2018;17;1637;8.1;102.5;10;392.8;416.7;8.3;30.5;14117;167;7267;770;413;103750;244;167;10053;0.42;"41°35' 58,889"" N";"15°42' 18,255"" E"
Torrente Candelaro;Candelaro-Canale della Contessa;CA_TC07;2018;16.9;1930;8;104.6;10.5;453.9;442.3;4.3;21.2;18125;mlq;10991;2252;1722;32000;373;209;3464;0.45;41°31'47,7'' N;15°49'20,8'' E
Torrente Candelaro;Foce Candelaro;CA_TC08;2018;17.6;4167;8;102.2;10.1;690.3;387.3;5;40.7;13575;mlq;7529;887;448;100917;1268;275;10274;0.46;"41°34' 25,277"" N";"15°53' 6,038"" E"
Torrente Triolo;Torrente Triolo;CA_TT01;2018;16.1;1622;8.1;97.6;9.7;356.8;428.4;11.7;28.3;14458;2440;6567;971;623;64417;212;160;57893;0.29;"41°38' 51,084"" N";"15°32' 44,987"" E"
Torrente Sàlsola;Salsola ramo nord;CA_SA01;2018;15.6;1218;8.1;109.2;11;292.5;384.9;8.5;22.2;17850;1236;9535;790;483;47000;127;148;11730;0.40;"41°32' 49,497"" N";"15°22' 7,430"" E"
Torrente Sàlsola;Salsola ramo sud;CA_SA02;2018;15.7;1515;8;109.8;11;348.9;419.3;9.1;20.2;18475;277;10824;591;356;32833;232;144;7271;0.49;"41°27' 20,137"" N";"15°22' 40,822"" E"
Torrente Sàlsola;Salsola confl. Candelaro;CA_SA03;2018;16;1924;8.2;110.2;10.9;453.9;430.8;5.8;23.1;22775;555;13867;638;402;64000;276;220;8925;0.38;"41°36' 20,636"" N";"15°36' 36,453"" E"
Fiume Celone;Fiume Celone_18;CA_CL01;2018;15.4;546;8.2;115.8;11.6;169.3;317.9;3.3;11.1;4400;mlq;2242;161;mlq;21333;29;51;1909;0.60;"41°23' 30,018"" N";"15°19' 11,847"" E"
Fiume Celone;Fiume Celone_16;CA_CL02;2018;14.8;2164;8.2;113.2;11.1;495.2;430;5;18.7;21445;mlq;14571;396;277;50273;343;238;19190;0.51;"41°34' 18,237"" N";"15°36' 47,046"" E"
Torrente Cervaro;Cervaro_18;CA_CE01;2018;14.6;628;8.4;116.2;11.5;206.4;295.1;3.2;11;4035;mlq;2014;142;42;27000;46;73;1408;0.57;"41°16' 29,937"" N";"15°22' 0,265"" E"
Torrente Cervaro;Cervaro_16_1;CA_CE02;2018;14.7;694;8.4;114.4;11.3;224.2;309;3.2;14.6;5660;mlq;2349;213;82;48600;52;98;1393;0.53;"41°24' 4,094"" N";"15°39' 8,683"" E"
Torrente Cervaro;Cervaro_16_2;CA_CE03;2018;16.6;862;8.2;98.9;9.7;264.3;342.8;7.9;25;5875;689;1840;232;52;39417;119;97;12093;0.49;"41°25' 37,226"" N";"15°40' 4,677"" E"
Torrente Cervaro;Cervaro foce;CA_CE04;2018;16.2;1030;8.2;107.4;10.7;255;304.2;5.1;19;7105;mlq;3330;398;236;94364;179;116;2620;0.51;"41°31' 17,296"" N";"15°53' 55,899"" E"
Torrente Carapelle;Carapelle_18;CA_CR01;2018;17.2;954;8.5;114.4;11.4;251.5;349.2;6.9;22.3;8980;mlq;2730;431;281;33583;88;142;1599;0.56;"41°9' 4,858"" N";"15°28' 3,410"" E"
Torrente Carapelle;Carapelle_18_Carapellotto;CA_CR02;2018;16.2;1011;8.5;117.1;11.6;245.7;324.3;4.5;15.4;10860;mlq;3916;282;61;49700;96;149;1753;0.48;"41°13' 31,226"" N";"15°32' 27,011"" E"
Torrente Carapelle;confl. Carapellotto_foce Carapelle;CA_CR03;2018;16.3;1036;8.4;110.3;10.8;233.9;305.5;4.4;15.1;7873;207;3416;439;154;70636;119;148;6959;0.47;"41°23' 51,370"" N";"15°48' 51,210"" E"
Fiume Ofanto;Ofanto - confl. Locone;CA_FO01;2018;15.9;798;8.1;93.3;9.4;291.4;410.5;7.2;29.9;6038;824;4585;518;164;298600;54;73;11469;0.35;"41° 08'31,010""N";"15° 52' 16,84""E"
Fiume Ofanto;confl. Locone - confl. Foce ofanto;CA_FO02;2018;17;875;8.1;95.3;9.4;310.2;428.8;mlq;25.1;5599;278;5019;558;258;213842;69;83;8448;0.30;"41°17' 9,541"" N";"16°6' 1,444"" E"
Fiume Ofanto;Foce Ofanto;CA_FO03;2018;17;2426;8.3;92.8;9.1;360.8;435.1;mlq;29.6;5283;142;4832;406;203;208326;538;146;2719;0.35;" 41° 20' 26,790""N";" 16° 12' 20,740""E"
Fiume Bradano;Bradano_reg;CA_BR01;2018;16.6;842;7.9;118.6;11.3;286.8;446.6;mlq;10.3;4563;45;4084;194;159;23186;57;74;12978;0.46;"40°47' 27,839"" N";"16°25' 7,080"" E"
Torrente Asso;Torrente Asso;CA_AS01;2018;20.3;1086;8.1;95.2;9.3;324.5;364.5;4.5;21.2;10547;1761;5608;3331;2208;11517;218;63;1277;0.22;40°11'20,35'' N;18°1'38,58'' E
Fiume Grande;F. Grande;CA_GR01;2018;19;4689;8.1;130.5;12.1;849.2;454.8;5.8;61.6;17569;74;4528;559;332;32304;1452;673;1267;0.50;"40°37' 29,151"" N";"17°58' 59,854"" E"
Canale Reale;C. Reale;CA_RE01;2018;19.7;1108;7.6;51.2;4.6;298.2;302.2;7.3;65.1;21710;687;6274;1821;1383;21655;269;56;2721;0.13;"40°42' 10,318"" N";"17°48' 26,422"" E"
